Per-class Average Precision:
  Bot                                                 AP=0.0044  n=738
  DDoS                                                AP=0.9886  n=95123
  DoS GoldenEye                                       AP=0.7439  n=7567
  DoS Slowhttptest                                    AP=0.1199  n=1742
  DoS slowloris                                       AP=0.1676  n=4001
  FTP-Patator                                         AP=0.0080  n=3973
  Heartbleed                                          AP=0.0981  n=11
  Infiltration                                        AP=0.0415  n=32
  PortScan                                            AP=0.5616  n=159151
  SSH-Patator                                         AP=0.0093  n=2980
  Web Attack - Brute Force                            AP=0.0005  n=151
  Web Attack - Sql Injection                          AP=0.0000  n=12
  Web Attack - XSS                                    AP=0.0002  n=27
