Per-class Average Precision:
  Bot                                                 AP=0.0062  n=738
  DDoS                                                AP=0.8043  n=95123
  DoS GoldenEye                                       AP=0.2973  n=7567
  DoS Slowhttptest                                    AP=0.1955  n=1742
  DoS slowloris                                       AP=0.2728  n=4001
  FTP-Patator                                         AP=0.0068  n=3973
  Heartbleed                                          AP=0.0817  n=11
  Infiltration                                        AP=0.0299  n=32
  PortScan                                            AP=0.1995  n=159151
  SSH-Patator                                         AP=0.0050  n=2980
  Web Attack - Brute Force                            AP=0.0007  n=151
  Web Attack - Sql Injection                          AP=0.0000  n=12
  Web Attack - XSS                                    AP=0.0004  n=27
