Per-class Average Precision:
  Bot                                                 AP=0.0024  n=3320
  DDoS                                                AP=0.7486  n=95131
  DoS GoldenEye                                       AP=0.2431  n=7575
  DoS Slowhttptest                                    AP=0.3685  n=1742
  DoS slowloris                                       AP=0.0868  n=4001
  FTP-Patator                                         AP=0.0017  n=3966
  Heartbleed                                          AP=0.0153  n=19
  Infiltration                                        AP=0.1472  n=445
  PortScan                                            AP=0.0687  n=159160
  SSH-Patator                                         AP=0.0013  n=2980
  Web Attack - Brute Force                            AP=0.0001  n=151
  Web Attack - Sql Injection                          AP=0.0000  n=20
  Web Attack - XSS                                    AP=0.0000  n=26
