Per-class Average Precision:
  Bot                                                 AP=0.0028  n=3320
  DDoS                                                AP=0.9903  n=95131
  DoS GoldenEye                                       AP=0.7671  n=7575
  DoS Slowhttptest                                    AP=0.3576  n=1742
  DoS slowloris                                       AP=0.3269  n=4001
  FTP-Patator                                         AP=0.0018  n=3966
  Heartbleed                                          AP=0.0829  n=19
  Infiltration                                        AP=0.1600  n=445
  PortScan                                            AP=0.1464  n=159160
  SSH-Patator                                         AP=0.0012  n=2980
  Web Attack - Brute Force                            AP=0.0002  n=151
  Web Attack - Sql Injection                          AP=0.0000  n=20
  Web Attack - XSS                                    AP=0.0000  n=26
