Per-class Average Precision:
  Bot                                                 AP=0.0031  n=3320
  DDoS                                                AP=0.8352  n=95131
  DoS GoldenEye                                       AP=0.3738  n=7575
  DoS Slowhttptest                                    AP=0.1016  n=1742
  DoS slowloris                                       AP=0.0328  n=4001
  FTP-Patator                                         AP=0.0020  n=3966
  Heartbleed                                          AP=0.0182  n=19
  Infiltration                                        AP=0.1587  n=445
  PortScan                                            AP=0.0963  n=159160
  SSH-Patator                                         AP=0.0014  n=2980
  Web Attack - Brute Force                            AP=0.0002  n=151
  Web Attack - Sql Injection                          AP=0.0001  n=20
  Web Attack - XSS                                    AP=0.0001  n=26
